StartDateTime	CoolingDegree	Energy	Flow	TemperatureIn	TemperatureOut	Volume
29/12/2018 02.00	35.22.00	02.06	00.05	62.89	27.67	00.06
29/12/2018 01.00	34.09.00	02.23	00.05	63.46.00	28.56.00	00.06
29/12/2018 00.00	34.59.00	02.09	00.05	64.29.00	29.69	00.07
28/12/2018 23.00	31.99	0,172916667	00.05	63.61	31.62	00.01
28/12/2018 22.00	34.19.00	00.31	00.06	63.17.00	28.98	00.01
28/12/2018 21.00	34.24.00	5	00.06	64.02.00	29.96	00.13
28/12/2018 20.00	34.24.00	5	00.06	64.02.00	29.96	00.13
28/12/2018 19.00	34.24.00	03.13	00.06	64.02.00	29.96	00.01
28/12/2018 18.00	34.78	0,185416667	00.06	64.85	30.07.00	00.09
28/12/2018 17.00	34.36.00	03.18	00.06	64.02.00	29.84	00.07
28/12/2018 16.00	35.88	0,13125	00.07	64.94	29.05.00	00.07
28/12/2018 15.00	34.86	03.18	00.06	64.87	30.01.00	00.08
28/12/2018 14.00	39.89	03.01	00.13	66.36.00	26.47.00	00.08
28/12/2018 13.00	34.44.00	0,185416667	00.02	66.44.00	31.99	00.09
28/12/2018 12.00	36.36.00	0,177083333	00.07	65.57.00	29.22.00	00.08
28/12/2018 11.00	36.45.00	03.31	00.07	65.79	29.35.00	00.09
28/12/2018 10.00	35.85	0,139583333	00.08	64.66	28.81	00.08
28/12/2018 09.00	35.02.00	03.37	00.07	64.63	29.62	00.08
28/12/2018 08.00	35.52.00	0,136805556	00.07	65.16.00	29.64	00.07
28/12/2018 07.00	35.53.00	0,143055556	00.07	64.71	29.18.00	00.08
28/12/2018 06.00	33.04.00	0,152083333	00.07	62.44.00	29.04.00	00.08
28/12/2018 05.00	22.41	02.34	00.28	62.89	40.48.00	00.07
28/12/2018 04.00	32.65	0,143055556	00.07	62.12.00	29.47.00	00.08
28/12/2018 03.00	30.51.00	03.01	00.06	62.01.00	31.59.00	00.07
28/12/2018 02.00	31.17.00	01.09	00.06	60.71	29.54.00	00.08
28/12/2018 01.00	33.62	03.01	00.08	62.11.00	28.49.00	00.07
